call_hour,duration_sec,label
8,163,0
10,224,0
9,144,0
16,151,0
18,103,0
20,208,0
12,178,0
20,88,0
9,132,0
18,289,0
14,129,0
22,58,0
13,257,0
16,128,0
9,141,0
14,298,0
18,55,0
17,148,0
16,207,0
22,144,0
14,128,0
14,120,0
17,55,0
15,235,0
19,167,0
19,47,0
8,38,0
19,135,0
16,273,0
11,38,0
12,212,0
12,115,0
8,128,0
10,203,0
12,238,0
18,177,0
12,52,0
8,227,0
22,231,0
13,244,0
11,47,0
11,138,0
10,243,0
13,55,0
11,194,0
13,241,0
11,72,0
20,61,0
14,116,0
16,164,0
16,278,0
9,174,0
17,222,0
15,138,0
10,165,0
11,30,0
17,274,0
22,277,0
22,57,0
8,220,0
11,68,0
12,43,0
13,106,0
18,147,0
20,131,0
10,196,0
11,161,0
20,116,0
13,148,0
22,37,0
12,202,0
16,184,0
12,55,0
11,196,0
15,299,0
15,137,0
11,243,0
20,105,0
21,143,0
22,209,0
17,221,0
16,202,0
10,75,0
9,262,0
10,168,0
8,215,0
18,256,0
16,86,0
10,120,0
20,73,0
9,168,0
9,134,0
17,97,0
8,51,0
13,129,0
17,214,0
12,169,0
15,221,0
11,289,0
15,41,0
22,83,0
11,99,0
22,203,0
9,96,0
11,199,0
15,203,0
16,300,0
12,235,0
18,153,0
13,229,0
20,107,0
16,36,0
14,99,0
15,190,0
11,109,0
8,128,0
16,241,0
13,63,0
10,103,0
19,120,0
8,38,0
20,82,0
21,241,0
11,159,0
12,169,0
15,250,0
12,222,0
22,74,0
21,246,0
20,167,0
9,90,0
12,170,0
15,40,0
19,100,0
8,169,0
18,239,0
17,242,0
21,32,0
15,214,0
22,100,0
21,270,0
20,227,0
18,229,0
12,65,0
14,277,0
21,70,0
8,254,0
11,299,0
11,184,0
18,34,0
10,142,0
10,95,0
22,168,0
9,92,0
17,174,0
8,179,0
21,298,0
13,37,0
19,134,0
19,129,0
20,241,0
22,115,0
15,154,0
9,239,0
9,200,0
18,259,0
20,180,0
17,72,0
8,295,0
13,250,0
21,45,0
20,197,0
10,273,0
19,195,0
10,49,0
11,129,0
13,169,0
20,299,0
9,78,0
13,149,0
15,160,0
18,213,0
12,216,0
16,143,0
15,277,0
13,286,0
22,159,0
11,227,0
21,235,0
19,160,0
14,172,0
15,260,0
10,140,0
13,299,0
16,248,0
10,110,0
12,129,0
12,175,0
13,123,0
11,97,0
9,41,0
15,107,0
19,117,0
13,238,0
17,56,0
17,155,0
17,222,0
13,193,0
15,151,0
12,93,0
18,138,0
9,46,0
20,59,0
11,186,0
16,178,0
9,209,0
12,88,0
22,61,0
13,279,0
18,93,0
9,42,0
22,70,0
20,159,0
14,166,0
15,44,0
9,235,0
19,96,0
20,168,0
9,33,0
13,281,0
14,79,0
22,44,0
22,187,0
8,31,0
21,114,0
22,191,0
21,285,0
18,246,0
11,267,0
13,80,0
17,248,0
16,168,0
